countryterritoryCode,popData2019,contintent
ABW,106314,Americas
AFG,38041754,Asia
AGO,31825295,Africa
ALB,2854191,Europe
AND,77142,Europe
ARE,9770529,Asia
ARG,44938712,Americas
ARM,2957731,Asia
ASM,55312,Oceania
ATG,97118,Americas
AUS,25364307,Oceania
AUT,8877067,Europe
AZE,10023318,Asia
BDI,11530580,Africa
BEL,11484055,Europe
BEN,11801151,Africa
BFA,20321378,Africa
BGD,163046161,Asia
BGR,6975761,Europe
BHR,1641172,Asia
BHS,389482,Americas
BIH,3301000,Europe
BLR,9466856,Europe
BLZ,390353,Americas
BMU,63918,Americas
BOL,11513100,Americas
BRA,211049527,Americas
BRB,287025,Americas
BRN,433285,Asia
BTN,763092,Asia
BWA,2303697,Africa
CAF,4745185,Africa
CAN,37589262,Americas
CHE,8574832,Europe
CHL,18952038,Americas
CHN,1397715000,Asia
CIV,25716544,Africa
CMR,25876380,Africa
COD,86790567,Africa
COG,5380508,Africa
COL,50339443,Americas
COM,850886,Africa
CPV,549935,Africa
CRI,5047561,Americas
CUB,11333483,Americas
CUW,157538,Americas
CYM,64948,Americas
CYP,1198575,Asia
CZE,10669709,Europe
DEU,83132799,Europe
DJI,973560,Africa
DMA,71808,Americas
DNK,5818553,Europe
DOM,10738958,Americas
DZA,43053054,Africa
ECU,17373662,Americas
EGY,100388073,Africa
ERI,,Africa
ESP,47076781,Europe
EST,1326590,Europe
ETH,112078730,Africa
FIN,5520314,Europe
FJI,889953,Oceania
FRA,67059887,Europe
FRO,48678,Europe
FSM,113815,Oceania
GAB,2172579,Africa
GBR,66834405,Europe
GEO,3720382,Asia
GHA,30417856,Africa
GIB,33701,Europe
GIN,12771246,Africa
GMB,2347706,Africa
GNB,1920922,Africa
GNQ,1355986,Africa
GRC,10716322,Europe
GRD,112003,Americas
GRL,56225,Americas
GTM,16604026,Americas
GUM,167294,Oceania
GUY,782766,Americas
HKG,7507400,Asia
HND,9746117,Americas
HRV,4067500,Europe
HTI,11263077,Americas
HUN,9769949,Europe
IDN,270625568,Asia
IMN,84584,Europe
IND,1366417754,Asia
IRL,4941444,Europe
IRN,82913906,Asia
IRQ,39309783,Asia
ISL,361313,Europe
ISR,9053300,Asia
ITA,60297396,Europe
JAM,2948279,Americas
JOR,10101694,Asia
JPN,126264931,Asia
KAZ,18513930,Asia
KEN,52573973,Africa
KGZ,6456900,Asia
KHM,16486542,Asia
KIR,117606,Oceania
KNA,52823,Americas
KOR,51709098,Asia
KWT,4207083,Asia
LAO,7169455,Asia
LBN,6855713,Asia
LBR,4937374,Africa
LBY,6777452,Africa
LCA,182790,Americas
LIE,38019,Europe
LKA,21803000,Asia
LSO,2125268,Africa
LTU,2786844,Europe
LUX,619896,Europe
LVA,1912789,Europe
MAC,640445,Asia
MAF,38002,Americas
MAR,36471769,Africa
MCO,38964,Europe
MDA,2657637,Europe
MDG,26969307,Africa
MDV,530953,Asia
MEX,127575529,Americas
MHL,58791,Oceania
MKD,2083459,Europe
MLI,19658031,Africa
MLT,502653,Europe
MMR,54045420,Asia
MNE,622137,Europe
MNG,3225167,Asia
MNP,57216,Oceania
MOZ,30366036,Africa
MRT,4525696,Africa
MUS,1265711,Africa
MWI,18628747,Africa
MYS,31949777,Asia
NAM,2494530,Africa
NCL,287800,Oceania
NER,23310715,Africa
NGA,200963599,Africa
NIC,6545502,Americas
NLD,17332850,Europe
NOR,5347896,Europe
NPL,28608710,Asia
NRU,12581,Oceania
NZL,4917000,Oceania
OMN,4974986,Asia
PAK,216565318,Asia
PAN,4246439,Americas
PER,32510453,Americas
PHL,108116615,Asia
PLW,18008,Oceania
PNG,8776109,Oceania
POL,37970874,Europe
PRI,3193694,Americas
PRK,25666161,Asia
PRT,10269417,Europe
PRY,7044636,Americas
PSE,4685306,Asia
PYF,279287,Oceania
QAT,2832067,Asia
ROU,19356544,Europe
RUS,144373535,Europe
RWA,12626950,Africa
SAU,34268528,Asia
SDN,42813238,Africa
SEN,16296364,Africa
SGP,5703569,Asia
SLB,669823,Oceania
SLE,7813215,Africa
SLV,6453553,Americas
SMR,33860,Europe
SOM,15442905,Africa
SRB,6944975,Europe
SSD,11062113,Africa
STP,215056,Africa
SUR,581372,Americas
SVK,5454073,Europe
SVN,2087946,Europe
SWE,10285453,Europe
SWZ,1148130,Africa
SXM,40733,Americas
SYC,97625,Africa
SYR,17070135,Asia
TCA,38191,Americas
TCD,15946876,Africa
TGO,8082366,Africa
THA,69625582,Asia
TJK,9321018,Asia
TKM,5942089,Asia
TLS,1293119,Asia
TON,104494,Oceania
TTO,1394973,Americas
TUN,11694719,Africa
TUR,83429615,Asia
TUV,11646,Oceania
TZA,58005463,Africa
UGA,44269594,Africa
UKR,44385155,Europe
URY,3461734,Americas
USA,328239523,Americas
UZB,33580650,Asia
VCT,110589,Americas
VEN,28515829,Americas
VGB,30030,Americas
VIR,106631,Americas
VNM,96462106,Asia
VUT,299882,Oceania
WSM,197097,Oceania
XKX,1794248,Europe
YEM,29161922,Asia
ZAF,58558270,Africa
ZMB,17861030,Africa
ZWE,14645468,Africa